Category,Q1,Q2 (if Yes),Q2a (Deeper probing if Yes),Q3 (if No at any stage)
Server Issues,"Are you facing VM not logging in, server lag, or SolidWorks server issues?",Is it a single server or multiple servers?,Have you checked the logs or tried restarting the server?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
SCADA Issues,"Are you facing SCADA failures (Ajman, Germany, Lebanon, FZCL)?",Is this issue affecting a single SCADA system or multiple systems?,Have you checked system logs or alerts?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
VM Provisioning,Do you need provisioning for new VMs or resource groups?,Is this for a single VM or multiple VMs?,Do you have configuration details ready?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Resource Groups,Do you need help managing Azure resource groups?,Is it a single resource group or multiple?,Are you facing permission issues or structural errors?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Asset & Backup,Are you facing backup or restore issues?,Is it for a single system or multiple systems?,Have you checked backup logs or attempted a restore?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
General Troubleshooting,Are you facing server or VM troubleshooting issues?,Is it for a specific server/VM or multiple?,Have you tried basic troubleshooting steps?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Storage & Keys,Do you need access to shared drives or backup storage?,Is it for one drive/storage or multiple?,Have you checked permissions or connection issues?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
SharePoint / OneDrive,"Are you facing file access, sync, or collaboration issues?",Is this issue affecting your files only or multiple users?,Have you checked file permissions or tried accessing via web/desktop client?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Laptop Issues,Is your laptop not starting or performing slowly?,Does the laptop power on?,Have you installed any new software or updates recently?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Printer Issues,Is the printer not printing or scanning?,Is the printer on and connected?,Have you tried another document or device?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Peripheral Devices,"Do you need a docking station, keyboard, or mouse?",Is this a new request or replacement?,Are you facing connectivity or performance issues?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Hardware Procurement,Do you need new IT equipment?,Is this for office or home use?,Do you have a preferred brand/model?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
End User Tools,Do you need help installing productivity tools?,Is this for a single tool or multiple?,Do you have admin rights for installation?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Installations,Are you facing software deployment issues?,Is it for one system or multiple systems?,Do you have deployment instructions ready?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Software Renewal & Access,"Do you need help with Adobe, MS Office, or other license renewal?",Is this for a single software or multiple?,Do you have license keys or approval ready?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
DNS Records,Are you facing DNS updates or errors?,Is this issue affecting a single record or multiple?,Have you checked DNS configuration or propagation?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Connectivity Issues,Are you facing LAN/WAN/network issues?,Is it a single device or multiple devices?,Have you tried restarting network devices or cables?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
Wi-Fi Issues,Are you experiencing wireless connectivity problems?,Is it a single device or multiple devices?,Have you tried reconnecting or checking signal strength?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
LAN / Port Issues,Are you facing switch or port troubleshooting issues?,Is this for a single port or multiple ports?,Have you checked switch configuration or logs?,"Please share a screenshot or error message, I am creating a ticket in JIRA."
